time,G(i),H_sun,T2m,WS10m,Int
20180121:1510,617.24,18.58,14.47,1.31,0.0
20180121:1610,374.95,10.28,14.29,1.24,0.0
20180121:1710,0.0,0.0,13.5,0.97,0.0
20180121:1810,0.0,0.0,12.25,0.83,0.0
20180121:1910,0.0,0.0,10.85,1.24,0.0
20180121:2010,0.0,0.0,9.6,1.38,0.0
20180121:2110,0.0,0.0,7.73,1.59,0.0
20180121:2210,0.0,0.0,6.62,1.45,0.0
20180121:2310,0.0,0.0,5.97,1.24,0.0
20180122:0010,0.0,0.0,5.08,1.24,0.0
20180122:0110,0.0,0.0,4.31,1.38,0.0
20180122:0210,0.0,0.0,3.66,1.45,0.0
20180122:0310,0.0,0.0,3.2,1.45,0.0
20180122:0410,0.0,0.0,2.81,1.52,0.0
